Age,Gender,Job,Relationship Status,Triggering_Event,Emotional_Response,Subjective_Assesment
25,Male,Software Engineer,Single,My coworker took credit for my work during a team meeting.,"anger, frustration, betrayal",I felt so angry and betrayed when my coworker took credit for my hard work. It was incredibly frustrating to see them get praised for something I did.
25,Male,Software Engineer,Single,I found out my ex is dating someone new just a few weeks after our breakup.,"anger, jealousy, hurt",I was so angry when I saw pictures of my ex with their new partner. I couldn't believe they moved on so quickly after our relationship. It hurt to see them happy with someone else.
25,Male,Software Engineer,Single,A client yelled at me over the phone for a minor issue that wasn't my fault.,"anger, frustration, helplessness","I felt so angry and frustrated when the client started yelling at me. I tried to explain the situation calmly, but they wouldn't listen. It was so unfair to be blamed for something that wasn't my fault."
25,Male,Software Engineer,Single,My roommate ate my leftovers without asking me.,"anger, annoyance, disrespect",I was so angry when I discovered my roommate ate my leftovers without asking. It was annoying to come home hungry and find out my food was gone. I felt disrespected that they didn't even ask me first.
25,Male,Software Engineer,Single,I got stuck in traffic and missed an important meeting at work.,"anger, stress, embarrassment",I felt so angry and stressed when I realized I was going to be late for the meeting. I hate being stuck in traffic and feeling like I have no control over the situation. It was embarrassing to walk into the meeting late and have everyone staring at me.
25,Male,Software Engineer,Single,I have to give a presentation to the executive team about the project I've been working on. I'm worried I'll forget what I need to say or that they won't like my work.,"Anxiety, nervousness, self-doubt",I feel really anxious and nervous about this presentation. I'm doubting my abilities and worry that I'll mess up.
25,Male,Software Engineer,Single,"I saw my ex-girlfriend at a mutual friend's party. She was with her new boyfriend, and they looked really happy together. It made me feel inadequate and like I'll never find someone.","Anxiety, insecurity, loneliness",Seeing my ex with her new boyfriend triggered feelings of anxiety and insecurity. I felt lonely and like I'm not good enough to find a partner.
25,Male,Software Engineer,Single,"I applied for a promotion at work, but haven't heard back from my manager yet. I'm worried that I didn't get it and that I'm not progressing in my career as quickly as I should be.","Anxiety, impatience, self-doubt",I'm feeling anxious and impatient waiting to hear back about this promotion. I'm starting to doubt my qualifications and worry that I'm not good enough.
25,Male,Software Engineer,Single,"I had plans to hang out with a group of friends, but they cancelled at the last minute. Now I'm sitting at home alone on a Friday night.","Anxiety, loneliness, rejection",Having my friends cancel our plans triggered feelings of anxiety and loneliness. I feel rejected and like I'm missing out on social interaction.
25,Male,Software Engineer,Single,I received a large unexpected bill in the mail. I'm worried about how I'm going to pay for it and if this will set me back financially.,"Anxiety, stress, worry",Getting this bill triggered a lot of anxiety and stress for me. I'm worried about my financial situation and how I'm going to handle this expense.
25,Male,Software Engineer,Single,"I worked hard on a project for months, but my colleague who barely contributed got all the credit and recognition from our boss.","Bitterness, resentment, anger, frustration",I feel so bitter and resentful. It's unfair that my hard work went unnoticed while someone else got the praise.
25,Male,Software Engineer,Single,"My ex-girlfriend, who I thought was the love of my life, got engaged to someone else just six months after we broke up.","Bitterness, jealousy, sadness, betrayal",I can't help but feel bitter about how quickly she moved on. It's like our relationship meant nothing to her.
25,Male,Software Engineer,Single,"I applied for my dream job and made it to the final round of interviews, but they ended up hiring someone with less experience who happened to be friends with the manager.","Bitterness, disappointment, frustration, hopelessness",It's so frustrating and disheartening to know that nepotism played a role in the hiring decision. I feel bitter about the unfairness of it all.
25,Male,Software Engineer,Single,"My parents always favored my younger sibling and gave them more attention and support, even though I was the one who excelled academically and professionally.","Bitterness, resentment, jealousy, loneliness",I can't help but feel bitter and resentful towards my parents for their unequal treatment. It hurts to feel like I'm not good enough for them.
25,Male,Software Engineer,Single,"I've been single for years and have watched all my friends get married and start families, while I'm still struggling to find a meaningful relationship.","Bitterness, loneliness, envy, hopelessness",It's hard not to feel bitter when everyone around me seems to be moving forward in their lives while I'm stuck in the same place. I worry that I'll never find someone to share my life with.
25,Male,Software Engineer,Single,"My coworker took credit for my work during a team meeting, and my manager praised him for it.","Contempt, anger, frustration, betrayal","I feel so much contempt for my coworker. He's a manipulative, credit-stealing snake."
25,Male,Software Engineer,Single,"I saw my ex at a party with their new partner, and they were all over each other.","Contempt, jealousy, bitterness, resentment",Seeing them together filled me with contempt. They're so disgusting and pathetic.
25,Male,Software Engineer,Single,"I overheard my friends making fun of me behind my back, mocking my interests and personality.","Contempt, betrayal, hurt, anger","I feel so much contempt for my so-called friends. They're just a bunch of two-faced, backstabbing jerks."
25,Male,Software Engineer,Single,"A client at work was incredibly rude and condescending to me, treating me like I was incompetent.","Contempt, anger, frustration, humiliation","I have nothing but contempt for that client. They're an arrogant, entitled bully."
25,Male,Software Engineer,Single,I saw a politician on TV making ignorant and offensive comments about a marginalized group.,"Contempt, disgust, anger, outrage","I feel so much contempt for that politician. They're a bigoted, hateful person who has no place in a position of power."
